Starting batch job
/home/groups/tabel/mahlet/pyccl-env/lib/python3.12/site-packages/mcfit/kernels.py:10: SyntaxWarning: invalid escape sequence '\l'
  """Real deriv is wrt :math:`t`, complex deriv is wrt :math:`\ln t`"""
M_i<=-20.0
Pixels masked by MC but not already by selfunc: 2468
G20.5_zmin0.0zmax1.0_Lmax-20.0: 0.33              218365 vs 324336
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:288: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
90it [00:32,  2.98it/s, bound: 0 | nc: 1 | ncall: 598 | eff(%): 15.050 | loglstar:   -inf < -318.687 <    inf | logz: -324.825 +/-  0.103 | dlogz: 374.402 >  0.010]
91it [00:33,  2.97it/s, bound: 0 | nc: 1 | ncall: 599 | eff(%): 15.192 | loglstar:   -inf < -317.142 <    inf | logz: -323.663 +/-  0.106 | dlogz: 373.612 >  0.010]
92it [00:33,  2.97it/s, bound: 0 | nc: 1 | ncall: 600 | eff(%): 15.333 | loglstar:   -inf < -316.737 <    inf | logz: -322.782 +/-  0.104 | dlogz: 372.448 >  0.010]
93it [00:34,  2.28it/s, bound: 0 | nc: 2 | ncall: 602 | eff(%): 15.449 | loglstar:   -inf < -316.174 <    inf | logz: -322.106 +/-  0.102 | dlogz: 371.565 >  0.010]
94it [00:34,  2.45it/s, bound: 0 | nc: 1 | ncall: 603 | eff(%): 15.589 | loglstar:   -inf < -315.486 <    inf | logz: -321.447 +/-  0.101 | dlogz: 370.888 >  0.010]
95it [00:34,  2.59it/s, bound: 0 | nc: 1 | ncall: 604 | eff(%): 15.728 | loglstar:   -inf < -314.341 <    inf | logz: -320.601 +/-  0.102 | dlogz: 370.226 >  0.010]
96it [00:35,  2.70it/s, bound: 0 | nc: 1 | ncall: 605 | eff(%): 15.868 | loglstar:   -inf < -314.151 <    inf | logz: -319.931 +/-  0.101 | dlogz: 369.378 >  0.010]
97it [00:35,  2.79it/s, bound: 0 | nc: 1 | ncall: 606 | eff(%): 16.007 | loglstar:   -inf < -313.243 <    inf | logz: -319.274 +/-  0.101 | dlogz: 368.706 >  0.010]
98it [00:35,  2.86it/s, bound: 0 | nc: 1 | ncall: 607 | eff(%): 16.145 | loglstar:   -inf < -305.585 <    inf | logz: -312.687 +/-  0.119 | dlogz: 368.048 >  0.010]
99it [00:36,  2.26it/s, bound: 0 | nc: 2 | ncall: 609 | eff(%): 16.256 | loglstar:   -inf < -305.116 <    inf | logz: -311.409 +/-  0.110 | dlogz: 361.458 >  0.010]
100it [00:37,  1.66it/s, bound: 0 | nc: 3 | ncall: 612 | eff(%): 16.340 | loglstar:   -inf < -302.839 <    inf | logz: -309.659 +/-  0.111 | dlogz: 360.179 >  0.010]
101it [00:37,  1.61it/s, bound: 0 | nc: 2 | ncall: 614 | eff(%): 16.450 | loglstar:   -inf < -300.763 <    inf | logz: -307.615 +/-  0.112 | dlogz: 358.426 >  0.010]
102it [00:38,  1.88it/s, bound: 0 | nc: 1 | ncall: 615 | eff(%): 16.585 | loglstar:   -inf < -299.558 <    inf | logz: -306.146 +/-  0.109 | dlogz: 356.381 >  0.010]
103it [00:38,  2.12it/s, bound: 0 | nc: 1 | ncall: 616 | eff(%): 16.721 | loglstar:   -inf < -297.264 <    inf | logz: -304.137 +/-  0.112 | dlogz: 354.909 >  0.010]
104it [00:38,  2.32it/s, bound: 0 | nc: 1 | ncall: 617 | eff(%): 16.856 | loglstar:   -inf < -294.512 <    inf | logz: -301.492 +/-  0.115 | dlogz: 352.899 >  0.010]
105it [00:39,  2.48it/s, bound: 0 | nc: 1 | ncall: 618 | eff(%): 16.990 | loglstar:   -inf < -294.302 <    inf | logz: -300.411 +/-  0.108 | dlogz: 350.251 >  0.010]
106it [00:39,  2.61it/s, bound: 0 | nc: 1 | ncall: 619 | eff(%): 17.124 | loglstar:   -inf < -292.700 <    inf | logz: -299.257 +/-  0.108 | dlogz: 349.169 >  0.010]
107it [00:39,  2.70it/s, bound: 0 | nc: 1 | ncall: 620 | eff(%): 17.258 | loglstar:   -inf < -291.610 <    inf | logz: -298.075 +/-  0.107 | dlogz: 348.013 >  0.010]
108it [00:40,  2.77it/s, bound: 0 | nc: 1 | ncall: 621 | eff(%): 17.391 | loglstar:   -inf < -288.041 <    inf | logz: -295.085 +/-  0.116 | dlogz: 346.828 >  0.010]
109it [00:41,  2.19it/s, bound: 0 | nc: 2 | ncall: 623 | eff(%): 17.496 | loglstar:   -inf < -286.477 <    inf | logz: -293.241 +/-  0.112 | dlogz: 343.837 >  0.010]
110it [00:41,  2.38it/s, bound: 0 | nc: 1 | ncall: 624 | eff(%): 17.628 | loglstar:   -inf < -285.359 <    inf | logz: -291.900 +/-  0.109 | dlogz: 341.990 >  0.010]
111it [00:41,  2.53it/s, bound: 0 | nc: 1 | ncall: 625 | eff(%): 17.760 | loglstar:   -inf < -284.531 <    inf | logz: -290.861 +/-  0.106 | dlogz: 340.648 >  0.010]
112it [00:42,  2.66it/s, bound: 0 | nc: 1 | ncall: 626 | eff(%): 17.891 | loglstar:   -inf < -282.619 <    inf | logz: -289.360 +/-  0.109 | dlogz: 339.607 >  0.010]
113it [00:42,  2.16it/s, bound: 0 | nc: 2 | ncall: 628 | eff(%): 17.994 | loglstar:   -inf < -282.459 <    inf | logz: -288.457 +/-  0.106 | dlogz: 338.114 >  0.010]
114it [00:43,  1.90it/s, bound: 0 | nc: 2 | ncall: 630 | eff(%): 18.095 | loglstar:   -inf < -278.102 <    inf | logz: -285.186 +/-  0.117 | dlogz: 337.208 >  0.010]
115it [00:43,  2.13it/s, bound: 0 | nc: 1 | ncall: 631 | eff(%): 18.225 | loglstar:   -inf < -277.946 <    inf | logz: -284.069 +/-  0.109 | dlogz: 333.936 >  0.010]
116it [00:44,  2.33it/s, bound: 0 | nc: 1 | ncall: 632 | eff(%): 18.354 | loglstar:   -inf < -276.815 <    inf | logz: -283.160 +/-  0.106 | dlogz: 332.817 >  0.010]
